0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
-3.63,-3.25,-1.88,-2.75,-1.37,-0.63,-1.63,-1,1.25,1.88,0.12,0.25,0.25,1.75,2.25,-0.37,3.13,2.88,3.88,3.5,2,1.88,-0.12,-0.63,-0.5,-0.75,-0.75,-1.25,-2.5,-1.37,-2.38,-9.25,6.13,12.13,-11.63,-9.75,1.087902665
-3.63,-3.38,-1.75,-2.88,-1.25,-0.5,-1.75,-1.12,1.37,1.63,0,0.25,-1.12,1.88,2.13,10,3.13,3,4,3.63,2,1.75,-0.12,-0.63,-0.5,-0.75,-0.63,-1.12,-2.5,-1.37,-2.13,-3.25,26.5,3.75,-0.25,-4.38,1.064780269
-3.63,-3.25,-1.88,-2.75,-1.25,-0.63,-1.75,-1,1.25,1.75,0.12,0.12,1.63,1.75,1.75,-0.63,3,2.75,3.75,3.25,1.75,2.13,-0.25,-0.63,-0.63,-1,-1.12,-1.12,-2.63,-1.37,-2.13,1.37,17.12,-10.88,-0.37,6.25,1.044257041
-3.63,-3.25,-1.75,-2.63,-1.37,-0.75,-1.75,-1.25,1.12,1.88,0,0.12,1,1.5,1.88,0.25,3,2.88,3.88,3,1.63,2.13,-0.25,-0.75,-0.75,-1.12,-0.63,-1,-2.63,-1,-2.13,22.25,4,-16.87,-9.5,-11.75,1.025477305
-3.63,-2.88,-1.75,-2.75,-1.25,-0.5,-1.63,-1.37,1.25,1.75,0,-0.12,2.75,1.5,2,0.12,3.13,3.38,4,2.75,2.25,2,-0.25,-0.25,-0.88,-1.37,-0.37,-1.12,-2.63,-1,-2.25,11.63,-6.38,-14.25,-4.75,-15.75,1.009583645
-3.75,-2.5,-1.75,-2.75,-1.25,-0.63,-1.75,-1.37,1.37,1.75,-0.12,0.25,3.13,1.25,1.88,0.25,2.88,3.38,3.75,2.63,2.38,2.13,-0.37,0,-1.25,-1.37,-0.37,-1.12,-2.5,-1,-2.5,6,-5.38,-15.88,0,-22.12,0.996194107
-3.75,-3.38,-1.75,-2.75,-1,-0.75,-1.88,-1.12,1.5,1.75,-0.25,0.12,2.75,1.63,2.25,-0.63,3.13,3.25,3.38,2.88,2.25,2.25,0.12,-0.25,-1.37,-1.12,-0.25,-1.25,-2.13,-1.12,-2.5,4.75,-10,-14.13,-32.75,-9,0.983802592
-3.63,-3.5,-1.88,-2.75,-1.12,-0.63,-1.88,-1.25,1.5,1.75,0,0.63,3.5,1.63,2.13,-0.25,3.25,3.13,3.13,3.25,2.25,2.13,0.25,-0.5,-1.37,-1.12,-0.37,-1.12,-2.25,-1.25,-2.38,-10,-9.5,-6,-18.12,2,0.969442593
-3.75,-3.38,-1.75,-2.75,-1.37,-0.75,-1.88,-1.25,1.37,1.75,-0.25,0.63,0.75,1.75,2.13,-2.25,3.25,2.88,3.38,3.25,2.25,2.38,0.12,-0.75,-1.12,-0.88,-0.5,-0.63,-2.5,-1.5,-2.5,-14.75,-10.13,-34.13,-10.38,26.75,0.949433596
-3.75,-3.38,-1.75,-2.75,-1.25,-0.75,-1.75,-1.25,1.37,1.75,0,0.37,0.63,1.88,1.75,-3.25,3.13,2.38,3.63,3,2.13,2.75,0,-1,-1,-1,-0.63,-0.75,-2.63,-1.63,-2.38,-10,0.37,-20.37,5.63,12,0.921332729
-3.75,-3.38,-1.75,-2.63,-1.25,-0.88,-1.75,-1.25,1.37,1.88,0.37,0.63,0.5,1.5,2.25,-4.25,3,2.63,3.75,3.25,2.25,2.5,-0.37,-1.25,-0.88,-1.12,0.25,-0.75,-2.75,-1.37,-2.25,-9.63,3.38,-15.75,10.5,7.38,0.885316962
-3.75,-3.38,-1.75,-2.63,-1.25,-0.63,-1.75,-1.25,1.5,2,0.12,0.37,1.63,1.63,2.38,-5.5,2.63,3,3.63,3.13,2.75,2,-0.75,-0.75,-1.12,-1.12,0.12,-1,-3,-1.37,-2.25,-4.63,-9.88,-5.38,30.62,-0.88,0.844200788
-3.75,-3.38,-1.75,-2.63,-1.37,-0.63,-1.88,-1.37,1.5,1.88,0.63,0,1,1.37,2.25,1.5,2.63,3,3.63,3.13,2.75,2.25,-0.63,-0.63,-1.12,-1,0,-1.37,-3,-1.25,-2.38,-4.63,-5.63,13.75,5.63,-0.63,0.801962439
-3.75,-3.63,-1.75,-2.88,-1.37,-0.63,-1.88,-1.25,1.5,1.88,0.63,0.25,1.12,2,2.13,0.37,2.88,3,3.5,3.38,2.75,2,-0.63,-0.37,-1.12,-0.5,-0.25,-1.37,-2.63,-1.25,-2.38,-19.75,-7.38,35.5,5.38,1,0.762194301
