0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
-1.88,-1.37,-0.25,-1.75,-2.38,-0.25,-0.88,-1.12,-0.25,-1.12,0.25,0.25,1.75,-0.5,0.12,-0.25,0,0.63,0.5,1.5,0.63,-0.75,-0.37,0.37,-1.25,-0.88,-0.25,-1.5,0.37,0.25,-0.25,4.13,-10.25,1.37,-39.63,-9.13,1.087902665
-1.75,-1.5,-0.25,-1.75,-2.5,-0.25,-0.88,-1.12,-0.37,-1.12,0.12,0,1.37,-0.63,0,-0.12,-0.37,0.5,0.63,1.63,0.5,-0.88,-0.37,0,-1.25,-0.88,-0.25,-1.5,0.25,0.12,-0.12,-0.12,-9.75,-5.88,-26.75,-4.75,1.064780269
-1.75,-1.5,-0.25,-1.75,-2.38,-0.25,-1,-1,-0.37,-1.12,0.12,0.25,2.13,-0.75,0,-0.75,-0.25,0.5,0.75,1.63,0.25,-0.88,-0.37,0.37,-1.25,-0.75,-0.25,-1,0.25,-0.12,-0.25,-1.12,-10.25,-12.25,-14.63,22.12,1.044257041
-1.75,-1.5,-0.12,-1.63,-2.38,-0.5,-0.88,-0.88,-0.37,-1,0.37,0.12,0.25,-0.63,0,-5.38,-0.25,0.12,1,1.63,0.5,-0.12,-0.5,-0.12,-0.88,-0.88,-0.37,-1,0,-0.12,0,-9.75,0.63,-40.88,-9.88,7.25,1.025477305
-1.88,-1.37,-0.25,-1.63,-2.38,-0.5,-0.75,-1,-0.37,-1,0.63,0.12,0.63,-0.5,-0.12,-4.38,-0.37,-0.12,1.12,1.63,0.37,-0.5,-0.63,-0.5,-0.75,-1,-0.12,-1,-0.37,-0.37,0.12,-10.25,0.63,-14,7,8.38,1.009583645
-1.75,-1.37,-0.12,-1.75,-2.5,-0.37,-0.88,-1,-0.37,-1,0.75,0.5,0.75,-0.75,0.12,-4.13,-0.63,0.25,1.12,1.5,0.75,-0.63,-1.12,-0.12,-0.88,-0.88,0.37,-1.12,-0.37,0,0.12,-9.75,-8,-9.88,27.5,6.5,0.996194107
-1.75,-1.37,-0.12,-1.88,-2.5,-0.37,-0.88,-1.12,-0.12,-0.88,0.5,-0.12,1.12,-0.63,0.12,-4.25,-0.88,0.37,1.12,1.5,1,-0.63,-1,0.25,-0.75,-0.88,0.5,-1.25,-0.5,0.12,-0.12,-4.88,-15,-9.13,5.88,-6.13,0.983802592
-1.88,-1.63,-0.12,-1.75,-2.5,-0.37,-0.88,-1.12,-0.25,-1,0.75,-0.12,1.12,-0.63,0.25,6.25,-0.63,0.37,1,1.63,1,-0.88,-1.25,0.37,-0.88,-0.5,0.12,-1.63,-0.25,0.25,0,-5.88,-15.5,18.62,7.38,-10.5,0.969442593
-1.88,-1.5,-0.12,-1.75,-2.63,-0.25,-0.88,-1,-0.25,-1,1,-0.12,1.12,-0.25,0.25,0.88,-0.63,0.5,1.12,2,0.5,-0.88,-1.12,0,-0.88,-0.25,0,-1.75,-0.12,0,-0.12,-16.12,-3.75,37.38,4.25,-10,0.949433596
-1.75,-1.5,-0.12,-1.75,-2.63,-0.25,-1,-0.75,-0.25,-1.12,0.37,0,1,-0.5,0.12,1.63,-0.5,0.37,1,2,0.63,-1.37,-0.75,0.25,-1,-0.63,-0.5,-1.75,-0.12,0.12,0.25,-9.75,7.75,7.13,0.25,-11,0.921332729
