0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
-2.13,-1.88,0.12,-0.63,-2.5,-0.63,0.5,-0.75,-0.75,-2.75,0.5,0,3.63,-2.88,-1.37,0.37,-5.25,-2.13,-2.13,-0.88,0.25,0,1,0.37,0.75,1,0.25,1.88,4.88,1.5,3,12.75,6.5,-15.5,-0.12,4.5,1.061617629
-2,-1.75,0.12,-0.75,-2.63,-0.63,0.63,-0.75,-0.75,-2.75,0.5,0,4.13,-2.63,-1.5,0.12,-5.38,-2.13,-2,-1,0.25,-0.12,1,0.63,0.5,0.75,0,1.63,4.75,1.5,2.75,-0.12,20.37,4,0.37,-0.37,1.032205336
-2,-1.88,0.12,-0.63,-2.63,-0.63,0.63,-0.88,-0.88,-2.88,0.5,0.12,4.5,-3,-1.37,-0.5,-5.13,-1.75,-2.25,-1,0.37,0.25,1,0.5,0.37,0.63,-0.12,1.75,4.75,1.5,2.88,0.75,9.5,-0.12,-9.75,0.37,1.003809111
-2,-1.88,0.12,-0.75,-2.5,-0.37,0.5,-1.12,-0.75,-2.63,0.5,0.12,6.38,-2.88,-1.25,0.88,-5.38,-1.5,-2.25,-1.37,0.88,-0.25,1,1,0.25,0.37,0.37,1.75,4.88,1.75,2.75,26.37,4.38,-15.75,-10,-7.13,0.97858544
-2.13,-1.88,0.12,-0.75,-2.5,-0.25,0.63,-1,-0.75,-2.75,0.5,0.12,12.5,-3,-0.75,-0.12,-5.5,-1.63,-2.63,-1.37,1,-0.12,1,1,-0.37,0.75,0.37,1.63,4.5,1.88,2.88,10.25,0,-15,-0.5,-9.75,0.957458333
-2,-1.88,0.25,-0.75,-2.38,-0.5,0.5,-0.88,-0.88,-2.75,0.37,0.12,5.13,-2.88,-1.25,0.12,-4.88,-1.63,-2.63,-1,0.75,-0.12,1.88,0.88,-0.37,0.88,0.5,1.63,5,1.75,2.63,6.25,0.12,-14.63,-10.88,-4.75,0.939884755
-2,-1.88,0.25,-0.88,-2.38,-0.5,0.37,-0.88,-0.75,-2.75,0.5,0.5,4.5,-2.63,-1.25,0.25,-5,-1.88,-2.75,-0.88,0.75,-0.25,1.63,0.63,-0.25,0.88,0.5,1.63,5.38,1.5,2.5,0.5,-9.88,-10,-16.37,-3.88,0.923629765
-2,-1.88,0.12,-0.63,-2.13,-0.5,0.5,-1,-0.75,-2.75,0.63,0.37,2.75,-2.88,-1,-6.13,-4.88,-2.13,-2.5,-1,0.63,0.37,1.5,0.25,0.12,1,0.37,1.63,5.25,1.37,2.5,0,-9.75,-10.38,-20.12,7.38,0.905373959
-2,-1.88,0.12,-0.63,-2.5,-0.75,0.5,-0.75,-0.63,-2.63,0.63,0.25,4,-2.63,-1.5,-4.38,-5.13,-2.13,-2.5,-1,0.75,0.37,1.25,0.12,0.25,0.88,0.37,2.38,5.13,1.12,2.75,-15.38,-4.75,-46.75,-9.88,31.37,0.881616888
-2.13,-1.88,0.12,-0.63,-2.5,-0.75,0.63,-1,-0.75,-2.75,0.63,0.25,4.13,-2.75,-1,-4.38,-5.25,-2.13,-2.38,-1,0.75,0.25,0.88,0.12,0.12,0.75,0.37,1.88,5,1.12,2.75,-9.75,-0.12,-21.62,-5.13,6.75,0.850806759
