0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
4.38,-15.75,-4.63,-7.63,-0.75,-0.63,0,-0.75,-1.5,-0.25,0,-1.12,-0.75,-2.25,1.75,0.37,1.88,-2.88,-0.63,-0.12,-2,-0.75,-1.37,-1.75,-0.75,0.12,0,0,1.63,0.63,0,1,2.25,0.63,1.25,-0.63,1.063426512
4.88,-0.75,0.37,1,-0.63,-0.63,0,-0.75,-1.75,-0.5,-0.12,-1,-0.88,-2.25,1.88,0.25,2.75,-2.38,-0.88,0,-1.88,-0.88,-1.63,-1.25,-0.88,-0.5,-0.37,0.12,1.63,0.75,0,0.88,2.13,1,1.12,7.63,1.038328846
6.13,-0.75,-9.88,10.25,-0.75,-0.63,0,-0.75,-1.75,-0.25,-0.25,-1.12,-0.88,-2.25,1.63,0,2.5,-2.75,-0.75,0.25,-2,-0.37,-1.75,-1.5,-0.63,-0.37,-0.12,1.37,1.63,0.37,0.25,0.88,2.25,1.12,1,2.5,1.016473232
-1.37,-0.25,-4.5,-18.37,-0.75,-0.63,0.12,-1,-1.63,0,-0.12,-1,-0.75,-2.38,1.63,-0.25,3.88,-2.88,-0.37,0.12,-2.13,-0.37,-1.75,-2,-0.25,-0.5,0,1.12,1.37,0.63,0.5,0.88,2.13,1.12,1,8.25,0.999733128
-5.5,-14.13,-5,-14.25,-0.88,-0.63,0.12,-0.75,-1.5,-0.25,-0.37,-1.25,-0.63,-2.5,1.63,0,2.88,-2.75,-0.63,0,-1.88,-0.5,-2.25,-1.75,-0.25,-0.37,0.12,1,0.75,1.12,0.5,0.75,2.75,0.75,0.88,8.88,0.988380808
-10.5,-15.63,-19.37,-14.38,-0.88,-0.63,0.12,-0.75,-1.25,-0.37,-0.5,-1.12,-0.5,-2.38,1.5,0.5,2.88,-2.63,-0.5,0.25,-1.5,-0.63,-2.38,-1.5,-0.12,-0.75,0.63,0.63,0.5,1,0.5,0.75,2.75,0.75,0.63,-5,0.980824999
-10.5,-10.25,-20.37,-3.5,-0.88,-0.63,0.12,-0.75,-1.37,-0.25,-0.5,-1,-0.75,-2.5,1.25,0.88,2.88,-2.5,-0.63,-0.63,-1.63,-0.88,-2.5,-1.37,-0.5,0,0.5,0.37,1.12,1.12,0.5,1.37,2.63,0.63,0.75,-10.75,0.973895204
0.75,-12.63,-16.5,17.37,-0.75,-0.63,0,-0.75,-1.5,-0.37,-0.25,-1,-0.75,-2.13,1.63,0.75,1.12,-2.63,-0.75,-9,-1.63,-1.12,-2,-1.37,-0.37,0.37,0.25,-0.12,1.25,1,0.37,1.63,2.38,0.12,1,1.63,0.963197269
-0.37,-34.38,-4.63,25.5,-0.75,-0.63,0,-0.63,-1.37,-0.37,-0.37,-1,-0.75,-2.13,1.88,0.37,1.5,-2.63,-0.75,-9.88,-2.13,-1.12,-1.88,-1.37,-0.63,-0.5,-0.37,-0.25,1.37,1,0.75,1.37,2,0.37,0.88,-9.75,0.945180511
4,-14.63,19,8.63,-0.75,-0.63,0.12,-0.63,-1.5,-0.37,-0.25,-1,-0.75,-2.25,2.13,0.88,1.88,-2.63,-0.37,-4.63,-2.13,-0.88,-1.75,-1.37,-0.12,0,-0.5,0.37,1.37,1,1.25,1.12,1.88,0.5,1.12,-5.63,0.917823792
