0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0.37,1.88,0.63,-8.13,-5.13,22.37,8.38,0.12,0.88,0.5,0.75,0.37,0.37,1.37,0.25,-0.37,-2.63,-0.63,0.5,1.5,-3,-0.63,-4.13,-3.75,-1.37,-4,-4,-0.25,-0.75,-0.63,0.63,2.25,1.75,1.25,1.5,2,1.103151174
0.75,1.75,0.12,-14.5,-8.75,17.12,-0.75,0.25,0.88,0.5,0.75,0.12,0.37,1.37,0.12,-0.63,-2.88,-0.37,0,1.63,-3.13,-0.5,2,-3.63,-1.37,-4.13,-4.13,-0.5,-0.88,-0.5,0.88,2.13,2.25,1.12,1,2.25,1.08094137
0.75,1.75,-2.5,-10.5,13.75,7.75,-10.88,0.12,1,0.37,0.75,0.12,0.5,1.25,0.37,-0.37,-3.13,-0.37,0,1.37,-2.63,-0.75,15.25,-3.63,-1.25,-4.25,-3.38,-0.37,-1.37,0,0.63,2.13,2.5,0.75,0.88,2.5,1.060906605
0.75,1.75,-30.62,-9.13,36,3.13,-14.25,0.12,1,0.5,0.5,0.25,0.25,1.37,0.5,-0.25,-3,-0.75,0.25,2,-2.88,-0.63,1.37,-3.38,-1.37,-4.13,-3.5,-0.5,-1.5,0.25,0.5,2.13,2.38,0.63,1,2.5,1.043415979
0.5,1.88,-5.13,-4.13,5.5,-6.25,0.5,0.12,1.12,0.37,0.63,0.25,0.5,1.25,0.37,-0.37,-3,-0.75,0.25,-1.25,-2.63,-0.75,4.75,-3.38,-1.37,-4,-3.63,-1.12,-1.5,0.25,0.37,2.88,2.5,0.37,1.25,2.63,1.029368397
0.5,1.88,-19.12,27.37,9,-10,-10,0.25,1,0.37,0.75,0.25,0.25,1.5,0.37,-0.63,-3,-0.63,0.25,1.37,-2.75,-1,-0.25,-3.5,-1.5,-3.63,-3.38,-1.12,-1.12,0.25,0.5,2.75,2,0,1.5,2.5,1.018257132
0.37,1.75,-0.37,19.87,-0.5,-9.63,1,0.12,0.88,0.37,0.75,0.25,0.5,1.37,0.37,-0.75,-3,-0.63,0.25,1,-3.13,-0.88,0.25,-3.5,-1.37,-3.63,-4,-1.25,-0.88,0.12,0.37,2.5,1.75,0.25,1.37,2.63,1.008178141
0.63,1.88,21.37,6.13,-10.13,0.12,3.25,0.12,0.88,0.37,0.75,0.25,0.63,1.37,0.25,-0.63,-3,-0.75,0.12,1.88,-3.38,-1,0.12,-3.63,-1,-3.88,-4.13,-0.88,-0.88,0.37,0.88,2.38,1.5,0.5,1.5,2.5,0.996151069
1.12,1.63,26.12,3.75,-19.87,-9.75,-22.25,0.25,0.75,0.37,0.63,0.12,0.5,1.5,0.12,-0.63,-3,-0.75,0,2.5,-3,-0.63,0,-3.63,-1.12,-4.25,-4.13,-0.63,-0.88,0,1.12,2.13,1.37,0.63,1.5,2.5,0.978902965
0.88,1.75,8.75,-5.38,1,0.37,-15.38,0.12,0.75,0.5,0.75,0.12,0.63,1.63,0.12,-0.5,-3,-0.75,0,4.25,-3.13,-0.88,0.12,-3.63,-1.12,-4.25,-4.13,-0.63,-1.37,0,1,1.88,1.75,0.88,1.12,3,0.953452442
0.88,1.5,8.75,-10.75,-14.63,-18,-14.63,0.12,0.88,0.37,0.88,0.5,0.5,1.25,0.12,-0.5,-2.88,-1,0.25,1.37,-2.88,-0.75,-0.12,-3.38,-1,-4.25,-3.88,-0.63,-1.12,0.88,0.88,1.63,1.88,0.63,1.25,3,0.919211095
