0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
-1.63,-1.37,0,-1.63,-2,-0.63,-1,-1.37,-0.5,-1.12,2.38,1,3.13,-1.12,-0.25,-0.88,-0.37,-0.37,-0.63,0.25,-0.37,-0.63,-0.25,0.25,-0.37,0,0,-0.25,0.75,0.37,0.12,-0.5,-10.75,-8.13,-15.13,8.38,1.087902665
-1.75,-1.25,0,-1.63,-1.88,-0.63,-0.88,-1.25,-0.5,-1,2.5,1.12,1,-1,-0.25,-10,-0.5,-0.5,-0.25,0.12,-0.37,-0.12,-0.12,-0.12,-0.37,-0.12,-0.12,0,0.75,0.25,0.37,-9.75,-0.5,-21.37,-9.38,1.63,1.064780269
-1.63,-1.25,0,-1.5,-1.88,-0.88,-1,-1.25,-0.5,-0.88,2.88,0.88,0.88,-1.12,0,-5.13,-0.75,-0.75,-0.25,0,-0.5,-0.37,-0.37,-0.37,-0.25,-0.12,0.12,-0.12,0.37,0.12,0.25,-10.75,4.63,-18.62,8.38,5.38,1.044257041
-1.63,-1.25,0,-1.75,-2.13,-0.75,-1,-1.37,-0.5,-0.88,2.75,1,1.88,-1.12,0.12,-4.75,-0.75,-0.5,-0.25,0.12,0,-0.25,-0.88,0,-0.12,0,0.5,-0.12,0.25,0.37,0.25,-9.75,-7.38,-9.75,34.5,4.25,1.025477305
-1.63,-1.25,0,-1.5,-2,-0.63,-1,-1.37,-0.37,-0.88,2.75,0.75,2.13,-1.12,-0.12,1.88,-0.88,-0.37,-0.25,0,0.12,-0.25,-0.75,0,-0.25,-0.12,0.5,-0.25,0.12,0.5,0.25,-4.75,-14.63,-3,14,-0.37,1.009583645
-1.63,-1.5,0.12,-1.63,-2,-0.63,-1,-1.37,-0.37,-1.12,2.38,0.5,2.25,-1.12,-0.12,1.63,-1,-0.37,-0.37,0.12,0.12,-0.63,-1,0.12,-0.37,0.37,0.37,-0.75,0.37,0.63,0.37,-6.13,-9.75,22.37,5.88,-10.13,0.996194107
-1.63,-1.5,0,-1.75,-2,-0.75,-1,-1.25,-0.37,-1.12,2.5,0.75,2,-1,-0.25,1,-0.63,-0.37,-0.37,0.5,-0.12,-1,-0.5,0.25,-0.37,0.5,0.37,-0.75,0.63,0.5,0.25,-15.25,-5.25,35.25,-0.37,-10.13,0.983802592
-1.75,-1.37,0,-1.75,-2,-0.63,-1,-1.25,-0.37,-1.12,2.5,0.88,2.13,-1.12,-0.12,1.12,-0.75,-0.37,-0.25,0.5,-0.12,-1.12,-0.5,0.12,0,0.25,-0.25,-0.63,0.5,0.63,0.25,-10.25,7.63,7.75,-5.38,-10,0.969442593
-1.63,-1.25,0,-1.63,-2,-0.75,-1,-1.12,-0.5,-1.25,2.63,0.75,-0.5,-1,-0.37,4,-0.5,-0.37,0,0.5,-0.5,-0.5,-0.63,0.12,0.12,0,-0.25,-0.37,0.75,0.5,0.37,-4.88,25.87,-0.75,-11.25,-0.5,0.949433596
-1.63,-1.37,0,-1.63,-2,-0.88,-0.88,-1.25,-0.63,-1.12,2.63,0.63,1.63,-0.75,-0.37,-0.75,-0.88,-0.37,0,0.37,-0.75,-0.5,-0.63,0.12,0.25,0,-0.37,-0.37,0.5,0.37,0.37,1.37,11.75,-10.38,-9.13,0.88,0.921332729
-1.5,-1,0,-1.63,-1.88,-0.63,-0.75,-1.25,-0.63,-1.12,2.63,0.63,1.25,-1.12,-0.37,0.12,-0.75,-0.25,0,-0.12,-0.75,-0.5,-0.5,0,0,-0.25,0,-0.37,0.37,0.88,0.37,25.87,5.75,0.37,-4.63,3.88,0.885316962
-1.5,-1,0,-1.63,-2,-0.63,-0.63,-1.37,-0.63,-1,2.63,0.5,2.13,-1.25,-0.12,0.25,-0.75,0,0,-0.12,-0.25,-0.37,-0.5,0.75,0,-0.37,0,-0.37,0.63,0.88,0.37,25.37,4.75,-14.5,0.37,-27.37,0.844200788
-1.63,-0.75,0,-1.75,-2.13,-0.63,-0.88,-1.25,-0.5,-1.12,2.5,0.5,1.75,-1.12,-0.12,0.12,-0.88,0,-0.12,-0.37,-0.12,-0.5,-0.75,0.63,-0.5,-0.5,0,-0.37,0.5,0.75,0.12,6,-4.88,-16.25,-0.88,-9.63,0.801962439
-1.63,-1.12,0,-1.63,-2,-0.63,-0.88,-1.37,-0.37,-1.12,2.25,0.75,3.13,-1.25,-0.25,0.12,-0.63,-0.12,-0.37,0,-0.12,-0.63,-0.25,0.5,-0.5,-0.12,0.12,-0.5,0.88,0.75,0.12,4,-10.63,-14.13,-20.87,-15.25,0.762194301
-1.63,-1.37,0.12,-1.75,-2,-0.5,-1,-1.37,-0.37,-1.25,2.38,1.12,3.13,-0.88,-0.25,0.37,-0.5,-0.25,-0.63,0.12,-0.25,-0.63,-0.37,0.37,-0.63,-0.12,0,-0.5,1.12,0.5,0,-5.13,-10.38,-9.13,-16.87,-5.88,0.727520494
-1.63,-1.37,0,-1.75,-1.75,-0.75,-1,-1.25,-0.5,-1.12,2.25,0.88,1,-1,-0.37,-1.5,-0.5,-0.5,-0.37,0.25,-0.37,-0.75,-0.12,-0.12,-0.5,0.12,0,0,0.88,0.37,0.12,0.12,-10,-23.12,-20.5,27.12,0.69970604
-1.63,-1.25,0,-1.75,-1.88,-0.75,-1,-1.37,-0.5,-1,2.75,0.88,0.75,-1.12,-0.37,-4.38,-0.5,-0.5,-0.12,0.25,-0.25,-0.12,-0.25,0,-0.25,0,-0.12,0,0.63,0.25,0.25,-10.13,-0.12,-35.75,-9.5,16.12,0.680309187
-1.63,-1.37,0,-1.63,-1.88,-0.75,-1,-1.25,-0.63,-0.88,2.63,0.75,1.5,-0.88,-0.37,-5.13,-0.63,-0.5,-0.12,0.25,-0.5,-0.25,-0.37,-0.12,-0.12,-0.12,0.37,0,0.5,0.5,0.25,-9.88,9.5,-14,7.5,6.25,0.670021747
-1.63,-1.25,0.12,-1.63,-2.13,-0.75,-1,-1.37,-0.5,-0.88,2.88,1.12,1.5,-1.12,-0.12,-3.63,-0.75,-0.5,-0.12,0.12,0,0,-0.75,-0.12,-0.25,-0.12,0.63,-0.37,0.25,0.5,0.12,-5.13,-18.25,-9.88,27.5,-0.5,0.668585411
-1.63,-1.25,0,-1.63,-1.88,-0.63,-0.88,-1.37,-0.37,-1,2.5,0.37,1.63,-1.12,-0.37,-3.38,-1,-0.37,-0.25,0,0.12,-0.75,-0.75,0.12,-0.25,-0.12,0.5,-0.25,0,0.5,0.37,-4.75,-13.88,3.75,7.25,-5.5,0.675492092
-1.63,-1.5,0,-1.63,-1.88,-0.63,-1,-1.25,-0.37,-1.12,2.88,0.75,1.88,-1.25,-0.12,1.5,-0.88,-0.37,-0.12,0.12,0,-0.75,-1,0.37,-0.37,0.37,0.37,-0.63,0.37,0.75,0.25,-12.38,-20.12,32.88,5.25,0.88,0.689397463
-1.63,-1.37,0.12,-1.63,-2.13,-0.63,-1,-1.25,-0.37,-1.12,2.75,0.75,2.13,-0.75,-0.25,4.63,-0.5,-0.37,-0.25,0.37,-0.12,-0.88,-0.37,0.25,-0.37,0.25,0.25,-0.75,0.5,0.63,0.37,-29.75,-4.38,8.13,-7.13,-9.63,0.709168452
-1.63,-1.25,0.12,-1.75,-2.13,-0.63,-1,-1.25,-0.37,-1.12,2.63,0.88,1.5,-1,-0.5,1,-0.75,-0.37,-0.37,0.5,-0.12,-0.88,-0.37,0.12,-0.12,0.25,-0.25,-0.63,0.63,0.5,0.25,-15,8.5,14.25,-10.38,-10.88,0.733178384
-1.63,-1.25,0,-1.75,-2,-0.75,-0.88,-1.12,-0.5,-1.12,2.75,0.75,-1,-0.63,-0.5,-0.63,-0.5,-0.37,0.25,0.37,-0.63,-0.5,-0.5,0.12,0.12,0.12,-0.37,-0.37,0.5,0.5,0.5,-4.38,25.62,-0.63,-10.25,-4.63,0.760014839
-1.63,-1.12,-0.12,-1.75,-2,-0.75,-1,-1.25,-0.63,-1.25,2.63,0.75,1.5,-0.88,-0.37,0.12,-0.63,-0.37,0.12,0.25,-0.75,-0.5,-0.5,0.12,0.12,-0.25,-0.37,-0.5,0.63,0.5,0.5,6.13,2.38,-9.75,-3.88,0.37,0.788938273
-1.75,-1.12,0,-1.5,-2,-0.75,-0.88,-1.25,-0.63,-1.12,2.5,0.63,1.88,-0.88,-0.37,0.12,-0.75,-0.37,0,0,-0.5,-0.63,-0.37,0,0,-0.25,-0.12,-0.37,0.5,0.75,0.37,26.5,5.38,-15.25,0.37,-8.63,0.820316871
-1.63,-1.12,0,-1.63,-2,-0.63,-0.75,-1.25,-0.63,-1,2.63,0.5,2.5,-1.37,-0.37,0.12,-0.63,-0.12,-0.12,0,-0.37,-0.5,-0.63,0.88,0,-0.5,0,-0.37,0.5,0.88,0.37,16.12,3.88,-13.63,-5.38,-16.5,0.855533045
-1.63,-0.75,0,-1.63,-2.13,-0.5,-0.75,-1.37,-0.5,-1.12,2.63,0.5,2.88,-0.88,-0.25,-0.25,-0.88,-0.12,-0.37,-0.12,-0.25,-0.5,-0.63,0.75,-0.37,-0.37,0.12,-0.37,0.5,0.75,0.12,5.63,-5.38,-14.88,-5.75,-6.38,0.895830009
-1.63,-1.5,0,-1.63,-2,-0.63,-1,-1.37,-0.5,-1.12,2.5,0.75,2.75,-1.37,-0.25,-0.25,-0.37,-0.12,-0.5,0,-0.25,-0.5,-0.25,0.63,-0.63,0,0.12,-0.37,1,0.63,0.12,3.63,0,-14.88,-33.63,-19.75,0.940615209
-1.63,-1.25,0,-1.5,-1.88,-0.63,-1,-1.25,-0.37,-1.12,2.38,1,3.38,-1.12,-0.37,0,-0.37,-0.25,-0.37,0.25,-0.37,-0.63,0,0.25,-0.63,0,0,-0.37,0.88,0.75,0,-6,1.12,11.5,-20.87,-4.25,0.986824542
-1.63,-1.25,0,-1.88,-2,-0.63,-0.88,-1.25,-0.5,-1.12,2.25,1,1.12,-0.75,-0.12,-1.12,-0.5,-0.37,-0.5,0.12,-0.37,-0.63,-0.12,-0.12,-0.25,0,0.12,0,0.75,0.37,0.12,-0.12,-10.5,-22.87,-15.75,11.88,1.030418879
-1.63,-1.12,0,-1.63,-1.88,-0.75,-0.88,-1.25,-0.63,-1.12,2.38,0.75,1.12,-1.12,-0.37,-4.75,-0.63,-0.5,-0.25,0.12,-0.25,-0.37,-0.12,-0.25,-0.37,0,-0.12,0.12,0.75,0.25,0.25,-9.5,-0.12,-26.5,-3.75,2.5,1.068423168
-1.63,-1.25,0,-1.75,-1.88,-0.88,-1,-1.25,-0.5,-1,2.63,1,1.63,-1.25,-0.5,-7.25,-0.75,-0.5,-0.25,0.12,-0.37,-0.12,-0.75,-0.37,-0.12,0,0.25,0,0.37,0.5,0.37,-10.25,-7,-8.75,14.13,12.25,1.099692411
-1.63,-1.25,0.12,-1.63,-2,-0.75,-0.88,-1.37,-0.37,-1,2.63,1,1.75,-1.12,-0.12,-4.75,-0.88,-0.5,-0.12,0.12,0.12,-0.37,-0.75,0.25,-0.25,-0.12,0.5,-0.37,0.25,0.63,0.25,1.12,-20.87,-2.5,32.25,-0.63,1.124570974
-1.63,-1.25,0,-1.63,-1.88,-0.75,-1,-1.37,-0.5,-1,2.63,0.75,2,-0.88,0,-3.63,-1,-0.37,-0.25,0,0,-0.37,-0.88,0,-0.37,0,0.5,-0.37,0.37,0.5,0.25,-1.12,-9.88,2.25,7.5,-7.5,1.144341434
-1.63,-1.5,0.12,-1.75,-2,-0.63,-0.88,-1.37,-0.5,-1,2.75,0.63,2,-1,-0.25,1.12,-1,-0.37,-0.25,0.25,0.12,-0.75,-0.88,0.25,-0.37,0.5,0.37,-0.63,0.63,0.63,0.25,-17,-14.13,16.25,4.75,-10.38,1.1606813
-1.63,-1.37,0,-1.88,-2,-0.63,-0.88,-1.12,-0.25,-1.12,2.5,0.75,2,-0.88,-0.25,0.5,-0.63,-0.25,-0.25,0.5,-0.12,-0.75,-0.5,0.25,-0.25,0.37,0.25,-0.88,0.63,0.5,0.37,-15.63,-3.88,9.88,-6.13,-9.5,1.175245281
-1.63,-1.37,0,-1.75,-2,-0.63,-1,-1.25,-0.5,-1.25,2.63,1,-0.63,-0.88,-0.37,1.37,-0.75,-0.37,-0.37,0.37,-0.25,-1,-0.5,0.25,0,0.12,-0.12,-0.63,0.63,0.5,0.37,-9.88,7.75,7.5,-10.75,-9.75,1.189475515
-1.63,-1.25,0,-1.75,-2,-0.5,-0.88,-1.25,-0.5,-1.12,2.75,0.75,0.63,-1,-0.37,-0.25,-0.63,-0.25,0.12,0.37,-0.63,-0.88,-0.37,0.12,0.12,0.12,-0.25,-0.37,0.5,0.5,0.37,-3.75,26.5,4.25,-10.25,-5.13,1.204385228
-1.5,-1.25,-0.12,-1.5,-2.13,-0.75,-0.88,-1.25,-0.75,-1.12,2.5,0.75,1.63,-1,-0.5,-0.12,-0.63,-0.5,-0.12,0.12,-0.63,-0.5,-0.5,0,0,-0.37,-0.25,-0.37,0.5,0.75,0.5,0.75,6.38,-9.88,1.37,5.25,1.220538267
-1.63,-1,0,-1.63,-2,-0.75,-0.88,-1.37,-0.63,-1.12,2.63,0.5,1.88,-1,-0.37,0.5,-0.88,-0.25,0,-0.12,-0.63,-0.37,-0.5,0.63,-0.12,-0.37,0.12,-0.37,0.5,0.88,0.25,11.75,3.75,-16,-0.37,-13.38,1.237936735
-1.5,-0.88,0,-1.63,-2.13,-0.63,-0.88,-1.37,-0.5,-1,2.63,0.5,2.38,-1.37,-0.25,0.12,-0.75,0,-0.25,-0.25,-0.37,-0.5,-0.63,0.37,0,-0.5,0.12,-0.37,0.37,0.75,0.25,4.75,-7,-14.25,6.75,-16.62,1.256042159
-1.63,-1.12,0,-1.63,-2,-0.5,-0.88,-1.25,-0.5,-1.12,2.5,0.63,4.38,-1.5,-0.5,0,-0.75,-0.12,-0.37,-0.25,-0.37,-0.5,-0.63,0.75,-0.5,-0.12,0.25,-0.5,0.88,0.75,0.25,4.38,-10.38,-15.25,-9.25,-16,1.273840016
-1.63,-1.25,0,-1.75,-2,-0.5,-1,-1.25,-0.5,-1.25,2.5,0.88,2.5,-1.25,-0.37,-0.25,-0.37,0,-0.63,0.12,-0.25,-0.75,0,0.37,-0.63,0,0,-0.5,0.88,0.75,0.25,-5.13,-9.88,-9.25,-36.5,-4.13,1.289814647
