0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
3.25,4.13,2.25,3.5,1.63,1.5,3.63,2.13,-1.88,-4.88,-0.63,-0.12,1.25,-3.75,-2.63,-10.25,-6,-4.5,-7,-6.88,-3.13,-2.88,0.75,1.37,3.13,3.13,1.12,2.75,5.25,1.5,5.25,-10.25,-9.88,-7.13,-20.62,13,1.087902665
3.25,4,2.25,3.38,1.5,1.63,3.5,2.13,-1.75,-5,-0.75,0,0.88,-3.75,-2.38,-7.25,-5.88,-4.5,-7.25,-6.88,-3.13,-2.88,0.75,1.37,3.25,3,1.25,2.75,5,1.63,5.25,-10,0.5,-17.62,-4.75,26.75,1.064780269
3.38,4,2.25,3.5,1.63,1.5,3.5,2.13,-1.88,-4.75,-0.63,-0.25,2.13,-3.75,-2.38,-4.88,-6.13,-4.5,-7.13,-6.88,-3.13,-2.63,0.37,1.25,3.25,2.88,1.12,2.75,5,1.63,5.25,-10.13,0.12,-22.25,-4,5.5,1.044257041
3.38,3.88,2.25,3.38,1.5,1.37,3.5,2.13,-1.88,-4.88,-0.5,0.25,2.13,-3.88,-2.25,-5.38,-6.38,-4.5,-7,-7,-3,-2.75,0.12,1.37,3.25,3,1.63,2.38,4.75,1.75,5.38,-4.88,-17.62,-4.38,33.5,5.25,1.025477305
3.38,4.13,2.25,3.5,1.5,1.5,3.5,2,-1.75,-4.75,-0.63,-0.37,2.75,-4.13,-2.13,1.75,-6.13,-4.38,-7,-7.13,-2.75,-3,0,1.63,3.13,2.88,1.5,2.38,4.63,1.88,5.25,-4.63,-15.25,-3.38,8.25,-5.88,1.009583645
3.25,4,2.25,3.38,1.5,1.63,3.5,2,-1.75,-4.88,-0.12,-0.37,2.75,-4,-2,1.12,-6,-4.38,-7.13,-7,-2.75,-3.25,0,1.37,3.13,3.25,1.5,2.13,4.75,1.88,5.25,-8.25,-14.5,27.25,6.38,0.88,0.996194107
3.25,3.88,2.25,3.25,1.5,1.63,3.5,2.13,-1.75,-5,-0.25,-0.25,2.5,-3.38,-2.25,6,-6.25,-4.5,-7.25,-6.5,-2.88,-3.5,0.37,1.75,3.13,3.38,1.37,2,5.13,1.88,5.13,-29.62,-8.38,8.25,2.75,-9.25,0.983802592
3.25,3.88,2.25,3.25,1.63,1.63,3.5,2.25,-1.75,-4.88,-0.75,-0.25,2.75,-3.63,-2.13,4,-6.25,-4.38,-7.13,-6.5,-3.13,-3.25,0.37,1.63,3.13,3.5,1.25,2.13,5,1.75,5.25,-8.88,3.13,4.88,-0.75,-10,0.969442593
3.38,4,2.25,3.25,1.5,1.63,3.5,2.25,-1.75,-4.75,-0.75,-0.25,-0.25,-3.88,-2.38,4.5,-6.13,-4.38,-6.75,-6.88,-3.38,-3.25,0.5,1.5,3.5,3.13,0.75,2.25,5,1.75,5.5,-10.13,11.25,4,-0.5,-4.88,0.949433596
3.38,4,2.13,3.38,1.37,1.5,3.63,2.25,-1.88,-5,-0.5,-0.37,1.37,-3.88,-2.25,-0.63,-6.13,-4.5,-6.75,-6.75,-3.25,-3.25,0.25,1.75,3.38,3.13,0.75,2.38,4.88,1.75,5.5,1.25,7.5,-10.5,-10.25,5.75,0.921332729
